site,group,Achimill,Agrostol,Airapais,Alopecur,Arrhe,Artemiss,Belluperr,Betapumi,Bromer,Chaeodor,Cirsium,Dactylis,Elymusrep,Filipend,Geraniel,Hyporadi,Juncbuft,Loliumper,Plantago,Poaprat,Ranuflam,Rumeacet,Salirepe,Scorzon,Thymuser,Triflive,Trifpate,Brachpodi
Site_1,Grassland,3.12,0.00,0.00,6.23,0.00,0.00,0.00,0.00,5.45,0.00,0.00,0.00,2.34,0.00,0.00,0.00,0.00,2.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Site_2,Grassland,0.45,0.00,0.00,4.56,0.00,0.00,0.00,0.00,3.21,0.00,0.00,0.00,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Site_3,Grassland,5.67,0.00,0.00,7.89,0.00,0.00,0.00,0.00,6.78,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00,4.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Site_4,Grassland,2.34,0.00,0.00,5.12,0.00,0.00,0.00,0.00,4.23,0.00,0.00,0.00,2.12,0.00,0.00,0.00,0.00,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Site_5,Grassland,4.23,0.00,0.00,6.45,0.00,0.00,0.00,0.00,5.89,0.00,0.00,0.00,2.89,0.00,0.00,0.00,0.00,3.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Site_6,Grassland,1.89,0.00,0.00,3.78,0.00,0.00,0.00,0.00,2.56,0.00,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Site_7,Woodland,0.00,3.45,2.34,0.00,2.12,0.00,0.00,4.56,0.00,0.00,0.00,0.00,0.00,0.00,3.21,2.89,0.00,0.00,4.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Site_8,Woodland,0.00,2.89,1.89,0.00,1.67,0.00,0.00,3.78,0.00,0.00,0.00,0.00,0.00,0.00,2.67,2.12,0.00,0.00,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Site_9,Woodland,0.00,4.56,3.12,0.00,2.89,0.00,0.00,5.67,0.00,0.00,0.00,0.00,0.00,0.00,4.23,3.45,0.00,0.00,5.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Site_10,Woodland,0.00,2.12,1.23,0.00,1.12,0.00,0.00,2.89,0.00,0.00,0.00,0.00,0.00,0.00,2.01,1.78,0.00,0.00,2.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Site_11,Meadow,2.89,0.00,0.00,4.12,0.00,3.45,2.12,0.00,0.00,2.34,0.00,0.00,0.00,1.89,0.00,0.00,0.00,0.00,0.00,3.12,2.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Site_12,Meadow,1.67,0.00,0.00,3.01,0.00,2.34,1.23,0.00,0.00,1.67,0.00,0.00,0.00,1.12,0.00,0.00,0.00,0.00,0.00,2.01,1.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Site_13,Meadow,4.01,0.00,0.00,5.67,0.00,4.56,3.01,0.00,0.00,3.45,0.00,0.00,0.00,2.67,0.00,0.00,0.00,0.00,0.00,4.23,3.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Site_14,Meadow,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.89,3.45,4.56,0.00,0.00,0.00,2.12,0.00,0.00,0.00,0.00,3.21,2.89,4.56,0.00,0.00,0.00,2.34
Site_15,Meadow,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.78,2.34,3.12,0.00,0.00,0.00,1.23,0.00,0.00,0.00,0.00,2.12,1.67,3.01,0.00,0.00,0.00,1.23
Site_16,Wetland,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45,2.89,4.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.67,4.23,3.89,0.00
Site_17,Wetland,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.67,1.89,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.23,3.01,2.89,0.00
Site_18,Wetland,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.56,3.78,5.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.89,5.45,5.01,0.00
Site_19,Disturbed,1.23,0.00,0.00,2.34,0.00,0.00,0.00,0.00,1.67,0.00,0.00,0.00,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Site_20,Disturbed,2.67,0.00,0.00,3.89,0.00,0.00,0.00,0.00,2.45,0.00,0.00,0.00,1.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
